姓名      职称编号  工龄    年龄
陈剑波        1      37      69
程斌          0      54      76
崔丽峰        3      28      48
戴耿师        4      10      33
邸欣月        1      47      66
耿显雷        1      45      65
龚红梅        2      21      50
郭巍          4       7      38
胡晓芳        2      37      56
黄振威        1      28      61
李春阳        2      21      50
李涛          3      19      49
林向洋        2      34      67
刘莹莹        4      28      57
孙广义        2      18      49
王亮亮        4      26      55
王晓红        3      38      63
邬建斌        4      27      62
吴言根        2      34      55
邢利琦        1      39      75
杨逛          1      25      53
杨吉伟        2      33      57
张超          0      27      49
张玮          3      36      59
张闻璟        0      34      62
张响荣        0      31      50
赵玉龙        3      18      45
刘志海        3      34      66
林川          1      40      64
王文洋        1      31      57
赵岩          4      14      38
薛生升        3      27      63
王佳营        3      22      49
张月峰        1      23      56
张俭峰        4      23      45
张利亚        0      52      76
刘杰          3      16      35
陈晓翠        0      39      69
贾盼盼        0      34      69
张海坤        3      37      67
张矿          1      20      39
赵进飞        1      25      50
罗华          0      29      58
李欢          2      35      63
付黎明        1      24      48
胡浩          0      52      81
罗恒          2      42      77
栾燕          2      18      39
巴金          0      54      81
陈林          3      21      47
德西央宗      2      31      55
邓新          0      28      54
樊航宇        0      36      56
高成          0      35      72
郭华          4      22      48
黄俊          3      35      54
李彬          2      35      64
刘芳          1      34      52
龙胜清        1      41      67
罗添          4      23      45
马彦云        1      44      75
曲扎          4      23      59
饶宁          0      33      58
施秋华        2      23      54
王海涛        3      23      48
王坤          1      20      55
王泽鹏        3      14      41
魏凡          1      25      54
翁泽婷        0      54      91
向雄          1      48      69
谢小长        4      33      55
许新芳        4      24      44
杨德山        0      50      81
益西培杰      3      23      48
张小达        4      28      54
赵端昌        0      43      79
周渝          0      51      87
张宗言        1      49      85
将幸福        4      12      42
陈旭          2      43      73
罗敏          3      39      67
张楗钰        2      23      52
王兴龙        0      53      87
任志媛        1      22      54
朱光辉        2      30      56
杨志军        1      42      66
金鹏          0      48      75
唐克非        2      39      73
郑周顺        1      38      58
王伟虎        1      21      58
李岩          2      21      51
尼玛桑珠      4      10      40
曹放          0      45      66
陈晓          4      16      42
董泽          1      29      62
杜泽辉        3      32      55
高翔          2      40      66
张庆          1      47      82
兰元丽        2      17      44
李强          4      16      43
李伟伟        1      29      55
李卫民        2      20      53
林贵          4      24      43
刘和彪        2      40      58
徐任章        3      13      50
谭文权        3      29      63
田梦黎        2      34      61
王崖钦        2      21      48
王宏          3      15      50
王强          1      46      69
王强波        3      32      65
韦宇          4      29      48
吴皓          1      21      45
徐彬彬        3      33      66
徐军辉        0      38      68
严涛          3      12      35
张超          3      16      35
张良刚        3      16      36
张震          1      24      58
赵亮          2      34      53
赵永          0      45      76
赵志江        1      34      71
周虎          2      24      55
吴晓勤        4      29      57
陈永照        0      34      58
代广涛        3      14      34
代贞伟        3      18      43
董家兴        0      43      72
洪冬          2      40      75
胡志强        4      19      41
胡炜          4      19      49
金磊          4      18      46
李朝晖        2      22      58
李韬          2      28      56
李文斌        3      38      68
刘飞          0      37      55
刘鹏飞        3      17      37
罗钢          4      22      45
马成斐        3      14      35
商震          2      26      45
随树波        3      22      45
孙维昌        3      25      54
谈祥君        2      37      57
吴林忠        1      34      52
王晓龙        2      35      66
吴亚君        4      25      53
徐颖          0      48      77
徐振飞        0      51      76
杨超          0      35      53
杨小伟        4      30      52
殷力立        4      30      64
张继军        4      13      33
张军          1      46      82
章志华        3      11      33
周岩          3      34      71
岑文攀        2      25      50
邓大飞        0      31      59
耿帆          2      25      58
洪广福        1      37      58
蒋思勇        3      34      61
兰天永        2      31      54
雷闯　        2      42      74
李国山        0      32      59
李欣          3      23      41
梁波          2      37      58
刘建宁        1      37      56
杨健          0      30      52
吕萍　        0      47      81
罗胜元        0      41      70
骆逸婷        1      41      66
马奎祥        3      20      48
尚小亮        4      13      34
童瑶函        0      26      46
王靖          4       5      36
夏晓燕        3      38      61
杨传超        2      32      50
杨贵来        3      29      50
姚田万        0      32      54
于斌          2      23      54
赵春茹        2      16      44
郑丹          0      43      74
周芳旭        4      30      48
周维维        1      44      77
刘旭明        1      32      60
钟发基        3      35      69
付亮          1      26      61
高连涛        1      27      62
赵莹彬        1      39      58
宫雪          1      22      57
包少明        2      42      76
蔡宁波        0      36      57
陈雯雯        4      24      47
陈武珍        4      27      61
江政波        0      48      68
于洋          4       9      41
王艳红        2      22      49
宁文鹤        2      38      63
袁丹丹        3      21      54
谭子恒        2      33      66
魏继雨        3      13      33
富金金        4       6      25
陈亚娣        0      34      57
吴灵敏        1      40      64
周昱辰        4      30      51
赵文鹏        0      53      90
李建峰        1      33      65
邱红文        2      29      63
赵锐          3      16      39
李伟          2      33      52
罗会涛        0      38      57
舒朗          0      40      60
毛玉娇        2      26      61
邱轩          4      13      43
张暑光        3      16      47
龚振宇        0      38      71
熊凤娟        2      23      51
陈雪娇        2      37      67
孙礼全        0      54      83
龚林锋        0      53      76
杨明宇        0      52      79
郭妙引        0      50      81
吴玉峰        4      26      44
陈健          4      13      46
陈志柠        4       7      30
崔炳松        4       6      27
黄卫          4      20      46
李学环        2      42      69
李薏新        1      21      46
刘亮          2      36      63
刘璐          0      28      60
刘念          1      37      70
卢刚          3      33      63
吕振宇        4      26      56
乔少华        4       5      31
任中杰        2      19      52
邵菁清        1      38      66
孙辉          2      42      64
汪洪强        3      21      42
王菲菲        1      43      71
王磊          1      29      47
王梦涵        4      17      54
王权          3      11      33
王伟          3      32      60
魏雯          0      50      87
文军          3      32      68
吴骏          2      39      65
谢福兵        1      34      65
杨承志        0      30      60
杨帅          1      38      65
张俊涛        2      44      67
张逊          4      19      42
钟南翀        0      50      76
周广镇        3      10      29
朱传伟        3      22      52
蔡晓亮        2      22      50
